"Date","Price","Open","High","Low","Vol.","Change %"
"03/17/2023","996.00","982.70","1004.95","981.20","","1.37%"
"03/16/2023","982.50","968.90","983.90","965.10","","1.26%"
"03/15/2023","970.30","988.90","997.70","953.00","23.07K","-2.71%"
"03/14/2023","997.30","1009.40","1009.50","983.30","25.81K","-0.76%"
"03/13/2023","1004.90","965.30","1012.00","960.40","31.10K","3.96%"
"03/12/2023","966.65","964.65","975.85","964.65","","0.46%"
"03/10/2023","962.20","946.10","975.80","933.00","25.70K","1.36%"
"03/09/2023","949.30","939.10","962.50","934.00","23.37K","0.92%"
"03/08/2023","940.60","934.60","949.70","931.90","18.66K","0.46%"
"03/07/2023","936.30","978.60","983.70","931.00","27.42K","-4.32%"
"03/06/2023","978.60","984.00","984.00","966.00","22.30K","0.09%"
"03/05/2023","977.70","983.65","983.65","977.70","","-0.17%"
"03/03/2023","979.40","964.40","986.30","964.40","21.49K","1.68%"
"03/02/2023","963.20","959.60","967.70","948.90","15.43K","0.15%"
"03/01/2023","961.80","955.70","973.40","951.20","24.59K","0.66%"
"02/28/2023","955.50","941.10","962.10","931.50","20.19K","1.44%"
"02/27/2023","941.90","909.10","953.50","903.90","24.31K","3.36%"
"02/26/2023","911.25","907.90","912.25","905.50","","0.40%"
"02/24/2023","907.60","947.40","952.00","906.30","22.36K","-3.98%"
"02/23/2023","945.20","950.95","963.45","940.90","","-0.82%"
"02/22/2023","953.00","945.60","963.85","936.75","","0.79%"
"02/21/2023","945.55","928.90","949.80","921.80","","1.78%"
"02/20/2023","929.00","918.50","942.25","916.25","","1.14%"
"02/19/2023","918.55","916.55","921.30","916.55","","-0.31%"
"02/17/2023","921.40","922.00","924.50","907.80","","-1.03%"
"02/16/2023","931.00","917.80","933.50","909.00","","1.44%"
"02/15/2023","917.80","937.50","938.20","915.40","","-2.28%"
"02/14/2023","939.20","960.20","964.30","931.80","26.56K","-2.11%"
"02/13/2023","959.40","950.50","963.10","938.10","","0.97%"
"02/12/2023","950.15","950.45","951.55","949.45","","-0.17%"
"02/10/2023","951.80","960.40","972.50","949.00","","-1.29%"
"02/09/2023","964.20","978.40","992.80","957.50","","-2.33%"
"02/08/2023","987.20","981.00","996.80","975.80","","0.10%"
"02/07/2023","986.20","978.10","988.30","968.00","","1.19%"
"02/06/2023","974.60","981.50","989.90","971.40","23.78K","-0.82%"
"02/05/2023","982.65","980.25","984.25","977.50","","0.24%"
"02/03/2023","980.30","1031.50","1042.40","977.90","","-5.06%"
"02/02/2023","1032.60","1014.00","1046.70","1012.00","","3.08%"
"02/01/2023","1001.70","1020.70","1023.40","997.00","","-1.90%"
"01/31/2023","1021.10","1017.50","1026.70","996.90","21.97K","0.05%"
"01/30/2023","1020.60","1017.70","1025.80","1011.50","","-0.17%"
"01/29/2023","1022.35","1018.65","1022.45","1017.90","","0.55%"
"01/27/2023","1016.80","1025.10","1029.60","1004.10","","-0.61%"
"01/26/2023","1023.00","1047.00","1050.40","1021.30","","-2.21%"
"01/25/2023","1046.10","1066.60","1067.10","1038.60","","-1.94%"
"01/24/2023","1066.80","1058.00","1068.80","1050.70","","0.99%"
"01/23/2023","1056.30","1055.50","1059.50","1035.90","","0.45%"
"01/22/2023","1051.60","1051.95","1054.70","1051.10","","0.36%"
"01/20/2023","1047.80","1043.50","1060.40","1026.40","","0.64%"
"01/19/2023","1041.10","1046.10","1052.60","1015.00","","-0.25%"
"01/18/2023","1043.70","1047.20","1085.10","1036.50","","-0.31%"
"01/17/2023","1046.90","1074.70","1082.10","1044.10","","-2.32%"
"01/16/2023","1071.80","1074.50","1082.15","1061.35","","-0.25%"
"01/15/2023","1074.45","1075.65","1077.45","1074.40","","0.18%"
"01/13/2023","1072.50","1079.60","1086.00","1055.10","","-1.09%"
"01/12/2023","1084.30","1081.50","1092.50","1067.00","","0.00%"
"01/11/2023","1084.30","1090.10","1117.00","1078.80","","-0.39%"
"01/10/2023","1088.50","1091.30","1097.90","1082.50","","-0.92%"
"01/09/2023","1098.60","1109.50","1115.60","1089.30","","-1.33%"
"01/08/2023","1113.45","1105.15","1114.95","1105.15","","0.83%"
"01/06/2023","1104.30","1070.40","1107.00","1057.30","","3.24%"
"01/05/2023","1069.60","1091.90","1099.70","1066.10","","-2.08%"
"01/04/2023","1092.30","1095.70","1112.10","1086.90","","-0.09%"
"01/03/2023","1093.30","1086.90","1108.70","1080.80","","0.70%"
"01/02/2023","1085.75","1085.85","1095.35","1083.10","","0.26%"
"12/30/2022","1082.90","1069.80","1087.60","1063.10","","1.68%"
"12/29/2022","1065.00","1018.60","1074.10","1016.60","","4.43%"
"12/28/2022","1019.80","1028.75","1045.55","1015.15","","-1.25%"
"12/27/2022","1032.70","1032.60","1047.60","1014.00","","-0.32%"
"12/26/2022","1036.00","1039.65","1043.95","1034.80","","0.62%"
